pl_name,hostname,discovery_year,discovery_method,orbital_period_days,radius_earth,mass_earth,semi_major_axis_au,stellar_temp_k,stellar_radius_solar,stellar_mass_solar,distance_pc,hz_inner_au,hz_outer_au,potentially_habitable,consortium
PYC-2015-0000,PYC Star 768,2015,Radial Velocity,419.737,0.72,0.455,1.0716,4419.0,0.97,0.932,70.7,0.425,1.004,0,Gaia
PYC-2002-0001,PYC Star 712,2002,Transit,131.735,0.702,0.623,0.4921,4669.0,0.874,0.916,53.2,0.428,1.01,1,TESS
PYC-2019-0002,PYC Star 005,2019,Radial Velocity,0.891,1.609,2.351,0.0182,4201.0,1.11,1.018,512.6,0.44,1.039,0,K2
PYC-2016-0003,PYC Star 762,2016,Transit,88.791,0.845,0.785,0.3411,6772.0,1.14,0.671,161.6,1.175,2.772,0,Kepler
PYC-2015-0004,PYC Star 070,2015,Transit,324.691,14.684,624.548,0.8396,3665.0,0.61,0.749,18.5,0.184,0.434,0,Kepler
PYC-2014-0005,PYC Star 032,2014,Transit Timing Variations,2.324,3.498,26.785,0.0333,5888.0,0.818,0.913,12.2,0.637,1.503,0,TESS
PYC-2014-0006,PYC Star 318,2014,Radial Velocity,19.381,12.523,516.781,0.1236,4654.0,0.948,0.67,31.0,0.461,1.089,0,SPITZER
PYC-2021-0007,PYC Star 371,2021,Radial Velocity,50.609,2.486,6.882,0.291,4208.0,1.17,1.284,116.8,0.465,1.098,0,HAT-P
PYC-2023-0008,PYC Star 109,2023,Transit,15.961,2.663,10.97,0.1197,5329.0,1.179,0.898,13.8,0.752,1.775,0,Kepler
PYC-2024-0009,PYC Star 538,2024,Transit,992.276,3.255,6.831,1.6441,4392.0,0.969,0.602,55.8,0.42,0.991,0,K2
PYC-2006-0010,PYC Star 828,2006,Transit,1.805,2.226,4.483,0.0272,4074.0,0.703,0.822,47.0,0.262,0.618,0,TESS
PYC-2014-0011,PYC Star 593,2014,Microlensing,390.737,10.256,628.682,1.0584,6411.0,0.687,1.036,54.3,0.634,1.496,0,KMT
PYC-2007-0012,PYC Star 864,2007,Transit,414.201,3.585,32.908,1.0323,2825.0,0.526,0.855,29.7,0.094,0.223,0,HAT-P
PYC-2004-0013,PYC Star 805,2004,Radial Velocity,21.787,9.606,209.583,0.16,4580.0,1.175,1.15,24.5,0.554,1.307,0,Kepler
PYC-1999-0014,PYC Star 734,1999,Transit,49.269,2.814,19.366,0.2812,4971.0,0.682,1.223,64.3,0.379,0.894,0,Kepler
PYC-1996-0015,PYC Star 151,1996,Transit,1.574,9.048,197.86,0.0351,6067.0,0.826,2.318,1.1,0.683,1.611,0,Kepler
PYC-2003-0016,PYC Star 574,2003,Transit,2.282,1.66,5.355,0.0388,4441.0,1.002,1.496,147.4,0.444,1.048,0,TESS
PYC-1994-0017,PYC Star 081,1994,Transit,45.951,9.134,296.92,0.2074,7195.0,0.902,0.564,29.9,1.049,2.474,0,Kepler
PYC-2012-0018,PYC Star 695,2012,Radial Velocity,2.97,0.561,0.189,0.0388,5483.0,0.898,0.882,49.5,0.606,1.431,0,Kepler
PYC-2009-0019,PYC Star 803,2009,Transit,533.535,1.876,4.906,1.248,2669.0,0.599,0.911,108.1,0.096,0.226,0,OGLE
PYC-2018-0020,PYC Star 108,2018,Radial Velocity,97.711,11.722,2163.634,0.444,3492.0,1.016,1.223,22.4,0.278,0.657,0,TESS
PYC-2016-0021,PYC Star 456,2016,Transit,0.663,4.06,26.141,0.0133,5013.0,0.782,0.721,112.8,0.441,1.042,0,Other
PYC-2000-0022,PYC Star 115,2000,Imaging,9.747,9.635,404.741,0.0839,3771.0,0.866,0.83,20.1,0.276,0.652,0,HAT-P
PYC-2004-0023,PYC Star 485,2004,Radial Velocity,848.229,6.008,156.439,1.5167,5293.0,1.515,0.647,389.0,0.954,2.251,0,Kepler
PYC-2005-0024,PYC Star 406,2005,Radial Velocity,4.755,1.722,2.537,0.0516,4392.0,1.13,0.81,101.9,0.49,1.155,0,Kepler
PYC-2003-0025,PYC Star 801,2003,Transit,246.043,4.569,23.409,0.7194,3724.0,0.696,0.821,146.6,0.217,0.512,0,TESS
PYC-2008-0026,PYC Star 245,2008,Transit,0.924,3.757,23.119,0.0179,3932.0,0.842,0.896,135.2,0.292,0.69,0,WASP
PYC-2016-0027,PYC Star 675,2016,Transit,1614.117,3.637,41.971,2.3448,5567.0,1.849,0.66,91.9,1.287,3.037,0,TESS
PYC-2005-0028,PYC Star 592,2005,Transit,22.045,1.497,2.407,0.1725,2979.0,0.784,1.41,197.9,0.156,0.369,1,HIRES
PYC-2006-0029,PYC Star 657,2006,Transit,32.13,6.264,105.1,0.209,5741.0,0.916,1.18,1.2,0.678,1.601,0,HAT-P
PYC-2022-0030,PYC Star 865,2022,Radial Velocity,64.593,4.667,86.536,0.2661,5767.0,1.213,0.602,118.9,0.907,2.14,0,TESS
